,precision,recall,f1-score,support
Eggplant_Cercospora,0.6885245901639344,0.6511627906976745,0.6693227091633466,129.0
Eggplant_Curl,0.5942028985507246,0.6029411764705882,0.5985401459854015,68.0
Eggplant_FleaBeetles,0.6481481481481481,0.7,0.6730769230769231,50.0
Eggplant_HaddaBeetles,0.7474747474747475,0.7551020408163265,0.751269035532995,98.0
Eggplant_Healthy,0.7777777777777778,0.8936170212765957,0.8316831683168316,47.0
Eggplant_LeafhopperJassids,0.8709677419354839,0.9818181818181818,0.9230769230769231,55.0
Eggplant_MagnesiumDeficiency,0.9454545454545454,0.9629629629629629,0.9541284403669725,54.0
Eggplant_PhomopsisBlight,0.6326530612244898,0.5961538461538461,0.6138613861386139,52.0
Eggplant_TMV,0.84,0.8076923076923077,0.8235294117647058,78.0
Eggplant_TubacooCaterpillar,0.8831168831168831,0.7472527472527473,0.8095238095238095,91.0
Eggplant_VerticilliumWilt,0.7966101694915254,0.8867924528301887,0.8392857142857143,53.0
Tomato_Bacterial_spot,0.9230769230769231,0.9056603773584906,0.9142857142857143,53.0
Tomato_Early_blight,0.7450980392156863,0.7916666666666666,0.7676767676767676,48.0
Tomato_Late_blight,0.9090909090909091,0.8888888888888888,0.898876404494382,45.0
Tomato_Leaf_Mold,0.7941176470588235,0.7941176470588235,0.7941176470588235,68.0
Tomato_Septoria_leaf_spot,0.9782608695652174,0.9,0.9375,50.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.95,0.9827586206896551,0.9661016949152542,58.0
Tomato_Target_Spot,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
Tomato_Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9710144927536232,0.9852941176470589,69.0
Tomato_Tomato_mosaic_virus,0.975609756097561,1.0,0.9876543209876543,40.0
Tomato_healthy,0.8297872340425532,0.8478260869565217,0.8387096774193549,46.0
papaya_Anthracnose,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
papaya_BacterialSpot,0.8974358974358975,0.9722222222222222,0.9333333333333333,36.0
papaya_Curl,0.9503105590062112,0.9622641509433962,0.95625,159.0
papaya_Healthy,0.9841269841269841,1.0,0.992,124.0
papaya_Mealybug,1.0,0.9814814814814815,0.9906542056074766,54.0
papaya_Mite_disease,0.9652173913043478,0.9823008849557522,0.9736842105263158,113.0
papaya_Mosaic,1.0,0.9375,0.967741935483871,112.0
papaya_Ringspot,0.9893617021276596,0.9893617021276596,0.9893617021276596,94.0
accuracy,0.875609756097561,0.875609756097561,0.875609756097561,0.875609756097561
macro avg,0.8704615425267019,0.8765351382021354,0.8726724019511458,2050.0
weighted avg,0.8764456418931227,0.875609756097561,0.8752703942554322,2050.0
